id,name_en,name_te,position_en,position_te,mobile,email,photo,display_order,is_executive,access_in,adm_in,a_in,i_ts,u_ts,d_ts,prfle_photo
1,President Name,అధ్యక్షుడి పేరు,President,అధ్యక్షుడు,+91 90000 00001,president@ssgc.org,,1,1,1,1,1,2026-08-06 11:45:07,,,
2,Vice President Name,ఉపాధ్యక్షుడి పేరు,Vice President,ఉపాధ్యక్షుడు,+91 90000 00002,vp@ssgc.org,,2,1,1,1,1,2026-08-06 11:45:07,,,
3,Member 1,సభ్యుడు 1,Committee Member,కమిటీ సభ్యుడు,+91 90000 00003,member1@ssgc.org,,3,0,1,0,1,2026-08-06 11:45:07,,,
4,Member 2,సభ్యుడు 2,Committee Member,కమిటీ సభ్యుడు,+91 90000 00004,member2@ssgc.org,,4,0,1,0,1,2026-08-06 11:45:07,,,
5,Member 3,సభ్యుడు 3,Committee Member,కమిటీ సభ్యుడు,+91 90000 00005,member3@ssgc.org,,5,0,1,0,1,2026-08-06 11:45:07,,,
6,Member 4,సభ్యుడు 4,Committee Member,కమిటీ సభ్యుడు,+91 90000 00006,member4@ssgc.org,,6,0,1,0,1,2026-08-06 11:45:07,,,
7,Member 5,సభ్యుడు 5,Committee Member,కమిటీ సభ్యుడు,+91 90000 00007,member5@ssgc.org,,7,0,1,0,1,2026-08-06 11:45:07,,,
8,Member 6,సభ్యుడు 6,Committee Member,కమిటీ సభ్యుడు,+91 90000 00008,member6@ssgc.org,,8,0,1,0,1,2026-08-06 11:45:07,,,
9,Member 7,సభ్యుడు 7,Committee Member,కమిటీ సభ్యుడు,+91 90000 00009,member7@ssgc.org,,9,0,1,0,1,2026-08-06 11:45:07,,,
10,Member 8,సభ్యుడు 8,Committee Member,కమిటీ సభ్యుడు,+91 90000 00010,member8@ssgc.org,,10,0,1,0,1,2026-08-06 11:45:07,,,
11,Member 9,సభ్యుడు 9,Committee Member,కమిటీ సభ్యుడు,+91 90000 00011,member9@ssgc.org,,11,0,1,0,1,2026-08-06 11:45:07,,,
12,Member 10,సభ్యుడు 10,Committee Member,కమిటీ సభ్యుడు,+91 90000 00012,member10@ssgc.org,,12,0,1,0,1,2026-08-06 11:45:07,,,
13,Member 11,సభ్యుడు 11,Committee Member,కమిటీ సభ్యుడు,+91 90000 00013,member11@ssgc.org,,13,0,1,0,1,2026-08-06 11:45:07,,,
14,Member 12,సభ్యుడు 12,Committee Member,కమిటీ సభ్యుడు,+91 90000 00014,member12@ssgc.org,,14,0,1,0,1,2026-08-06 11:45:07,,,
